Dog Name,Count,Rank,Date
Bella,115,1,07/13/2017 
Lucy,80,2,07/13/2017 
Sadie,78,3,07/13/2017 
Max,76,4,07/13/2017 
Buddy,74,5,07/13/2017 
Bailey,64,6,07/13/2017 
Charlie,63,7,07/13/2017 
Daisy,61,8,07/13/2017 
Jack,59,9,07/13/2017 
Ginger,58,10,07/13/2017 
Molly,58,10,07/13/2017 
Lily,56,12,07/13/2017 
Bear,51,13,07/13/2017 
Roxy,50,14,07/13/2017 
Luna,49,15,07/13/2017 
Abby,48,16,07/13/2017 
Cooper,47,17,07/13/2017 
Maggie,47,17,07/13/2017 
Rocky,46,19,07/13/2017 
Duke,43,20,07/13/2017 
Kenai,42,21,07/13/2017 
Riley,42,21,07/13/2017 
Willow,42,21,07/13/2017 
Koda,38,24,07/13/2017 
Shadow,38,24,07/13/2017 
Jake,37,26,07/13/2017 
Ruby,37,26,07/13/2017 
Denali,36,28,07/13/2017 
Lady,36,28,07/13/2017 
Lucky,36,28,07/13/2017 
Sophie,36,28,07/13/2017 
Toby,36,28,07/13/2017 
Harley,35,33,07/13/2017 
Loki,33,34,07/13/2017 
Sam,32,35,07/13/2017 
Chloe,31,36,07/13/2017 
Coco,31,36,07/13/2017 
Rosie,31,36,07/13/2017 
Diesel,30,39,07/13/2017 
Bandit,28,40,07/13/2017 
Gracie,28,40,07/13/2017 
Penny,28,40,07/13/2017 
Piper,28,40,07/13/2017 
Cody,27,44,07/13/2017 
Lola,27,44,07/13/2017 
Pepper,27,44,07/13/2017 
Ruger,27,44,07/13/2017 
Tucker,27,44,07/13/2017 
Bentley,26,49,07/13/2017 
Gus,26,49,07/13/2017 
Blue,25,51,07/13/2017 
Lilly,25,51,07/13/2017 
Scout,25,51,07/13/2017 
Zoe,25,51,07/13/2017 
Kodiak,24,55,07/13/2017 
Yukon,24,55,07/13/2017 
Buster,23,57,07/13/2017 
Jasper,23,57,07/13/2017 
Stella,23,57,07/13/2017 
Zoey,23,57,07/13/2017 
Dakota,22,61,07/13/2017 
Kiska,22,61,07/13/2017 
Milo,22,61,07/13/2017 
Missy,22,61,07/13/2017 
Murphy,22,61,07/13/2017 
Annie,21,66,07/13/2017 
Belle,21,66,07/13/2017 
Emma,21,66,07/13/2017 
Kona,21,66,07/13/2017 
Oscar,21,66,07/13/2017 
Raven,21,66,07/13/2017 
Sasha,21,66,07/13/2017 
Zeus,21,66,07/13/2017 
Marley,20,74,07/13/2017 
Titan,20,74,07/13/2017 
Athena,19,76,07/13/2017 
Ellie,19,76,07/13/2017 
Finn,19,76,07/13/2017 
Frankie,19,76,07/13/2017 
Nala,19,76,07/13/2017 
Oliver,19,76,07/13/2017 
Ranger,19,76,07/13/2017 
George,18,83,07/13/2017 
Mocha,18,83,07/13/2017 
Angel,17,85,07/13/2017 
Baxter,17,85,07/13/2017 
Chance,17,85,07/13/2017 
Dozer,17,85,07/13/2017 
Jackson,17,85,07/13/2017 
Jax,17,85,07/13/2017 
Katie,17,85,07/13/2017 
Minnie,17,85,07/13/2017 
Moose,17,85,07/13/2017 
Otis,17,85,07/13/2017 
Sammy,17,85,07/13/2017 
Winston,17,85,07/13/2017 
Aurora,16,97,07/13/2017 
Copper,16,97,07/13/2017 
Dexter,16,97,07/13/2017 
Lexi,16,97,07/13/2017 
Lulu,16,97,07/13/2017 
Mia,16,97,07/13/2017 
Sparky,16,97,07/13/2017 
Sugar,16,97,07/13/2017 
#REF!,16,97,07/13/2017 
#REF!,15,106,07/13/2017 
#REF!,15,106,07/13/2017 
#REF!,15,106,07/13/2017 
#REF!,15,106,07/13/2017 
#REF!,15,106,07/13/2017 
#REF!,15,106,07/13/2017 
#REF!,14,112,07/13/2017 
#REF!,14,112,07/13/2017 
