Address,Categories,City,Name,Postal Code,Province
800 N Canal Blvd,American Restaurant and Fast Food Restaurant,Thibodaux,SONIC Drive In,70301,LA
800 N Canal Blvd,Fast Food Restaurants,Thibodaux,SONIC Drive In,70301,LA
206 Wears Valley Rd,Fast Food Restaurant,Pigeon Forge,Taco Bell,37863,TN
3652 Parkway,Fast Food,Pigeon Forge,Arby's,37863,TN
2118 Mt Zion Parkway,Fast Food Restaurant,Morrow,Steak 'n Shake,30260,GA
9768 Grand River Ave,Fast Food Restaurant,Detroit,Wendy's,48204,MI
13600 W McNichols Rd,Fast Food Restaurant,Detroit,Burger King,48235,MI
4111 Oceanside Blvd,Fast Food,Oceanside,Chipotle Mexican Grill,92056,CA
162 Old Country Rd,Fast Food Restaurants,Riverhead,7-Eleven,11901,NY
1407 S Stockton Ave,Fast Food Restaurant,Monahans,Dairy Queen,79756,TX
208 W Mason St,Fast Food Restaurant and Ice Cream Shop,Mabank,Dairy Queen,75147,TX
5801 Highway 6,Ice Cream Shop and Fast Food Restaurant,Missouri City,Dairy Queen,77459,TX
3454 Manchester Rd,Fast Food Restaurant,Akron,Mr. Hero,44319,OH
1500 E Main St,Fast Food Restaurants,Eastland,Golden Chick,76448,TX
1190 W Foothill Blvd,Fast Food Restaurant,Azusa,Carl's Jr,91702,CA
601 N Main St,Fast Food Restaurants,Summerville,Checkers,29483,SC
1927 Woodville Road,Fast Food,Oregon,Rally's,43616,OH
6316 W 89th St,Fast Food,Los Angeles,Togo's,90045,CA
3105 Highway 80 E,Fast Food Restaurants,Pearl,Rally's,39208,MS
2860 E Paris Ave SE,Fast Food Restaurant,Grand Rapids,Checkers,49512,MI
2424 E State Road 44,Fast Food Restaurant,Shelbyville,Rally's,46176,IN
1611 Broadway,Fast Food,Brooklyn,Checkers,11207,NY
1720 Walton Way,Fast Food Restaurants,Augusta,Checkers,30904,GA
17620 Grand River Ave,Fast Food Restaurant,Detroit,Checkers,48227,MI
196 Massachusetts Ave,Fast Food Restaurants,Arlington,Little Q Hot Pot,2474,MA
1224 State St,Fast Food,Schenectady,McDonald's,12304,NY
1232 Ulster Ave,Fast Food Restaurant,Kingston,McDonald's,12401,NY
1188 Avenue of The Americas,Fast Food Restaurant,New York,McDonald's,10036,NY
114 Delancey St,Fast Food Restaurant,New York,McDonald's,10002,NY
1050 Front St,Fast Food Restaurants,Uniondale,McDonald's,11553,NY
105 Jericho Tpke,Fast Food Restaurant,Jericho,McDonald's,11753,NY
105 Jericho Tpke,Fast Food,Jericho,McDonald's,11753,NY
106 Wolf Rd,Fast Food Restaurants,Albany,McDonald's,12205,NY
101 E 170th St,Fast Food,Bronx,McDonald's,10452,NY
103 Brookview Dr,Fast Food,Schenectady,McDonald's,12303,NY
1028 Mckinley Pkwy,Fast Food Restaurants,Buffalo,McDonald's,14220,NY
10 Main St,Fast Food Restaurants,Tonawanda,McDonald's,14150,NY
300 Mishawum Rd,Fast Food,Woburn,McDonald's,1801,MA
1190 Providence Rd,Fast Food Restaurant,Whitinsville,McDonald's,1588,MA
212 Main St,Fast Food,Wilmington,McDonald's,1887,MA
44 E Main St,Fast Food,Webster,McDonald's,1570,MA
789 Main St,Fast Food,Waltham,McDonald's,2451,MA
20 Main St,Fast Food Restaurant,Townsend,McDonald's,1469,MA
595 Main St,Fast Food Restaurant,Walpole,McDonald's,2081,MA
282 Winthrop St,Fast Food,Taunton,McDonald's,2780,MA
660 Liberty St,Fast Food,Springfield,McDonald's,1104,MA
360 Main St,Fast Food Restaurants,Springfield,McDonald's,1105,MA
2392 Main St,Fast Food Restaurants,Springfield,McDonald's,1107,MA
1402 Allen St,Fast Food Restaurant,Springfield,McDonald's,1118,MA
1610 Boston Rd,Fast Food Restaurants,Springfield,McDonald's,1129,MA
59 W Main St,Fast Food Restaurants,Spencer,McDonald's,1562,MA
59 W Main St,Fast Food,Spencer,McDonald's,1562,MA
1433 SW 107th Ave,Fast Food Restaurant,Miami,Five Guys,33174,FL
1601 W Kirby St,Fast Food Restaurant and Mexican Restaurant,Wylie,Taco Bell,75098,TX
7425 S Broadway Ave,Fast Food Restaurant,Tyler,Taco Bell,75703,TX
100 Business Loop 70 E,Fast Food Restaurants,Columbia,Burger King,65203,MO
615 Martin Luther King Jr Blvd,Fast Food Restaurant and Burger Joint,Savannah,Wendy's,31401,GA
1123 Roswell Rd,Fast Food Restaurant and Burger Joint,Marietta,Wendy's,30062,GA
273 Keys Ferry St,Fast Food Restaurants,McDonough,Wendy's,30253,GA
1117 W Spring St,Fast Food Restaurant,Monroe,Wendy's,30655,GA
430 S Belair Rd,Fast Food Restaurants,Augusta,Wendy's,30907,GA
2341 N Columbia St,Fast Food Restaurant,Milledgeville,Wendy's,31061,GA
260 Cooper Rd,Fast Food Restaurant and Burger Joint,Loganville,Wendy's,30052,GA
4331 Atlanta Hwy,Fast Food Restaurant,Loganville,Wendy's,30052,GA
3015 Panola Rd,Fast Food Restaurant,Lithonia,Wendy's,30038,GA
184 Endicott St,Fast food restaurants,Danvers,Burger King,1923,MA
1291 Boston Rd,Fast Food Restaurants,Springfield,Boston Road Pizza,1119,MA
6134 State Route 14,Fast Food Restaurant,Ravenna,McDonald's,44266,OH
4402 Little Rd,Fast Food Restaurant,Arlington,Boston Market,76016,TX
15 Highland Ave,Fast Food Restaurants,Attleboro,D'Angelo Grilled Sandwiches,2703,MA
2992 Jamacha Rd,Fast Food,El Cajon,Burger King,92019,CA
706 Fletcher Pkwy,Fast Food Restaurants,El Cajon,Boston Market,92020,CA
