Iso,City,Composer,Work,Start Date,Performances
al,Tirana,Lortzing,Ali Pascha von Janina,2013-03-23,4
al,Tirana,Mozart,Don Giovanni,2013-05-18,3
al,Tirana,Puccini,Tosca,2013-02-13,2
am,Yerevan,Spendiaryan,Almast,2013-07-11,1
am,Yerevan,Tigranian,Anoush,2013-05-11,3
am,Yerevan,Verdi,La traviata,2013-07-27,1
ar,Buenos Aires,Bizet,Carmen,2013-04-16,6
ar,Buenos Aires,Donizetti,Lucrezia Borgia,2013-05-17,5
ar,Buenos Aires,Mercadante,I due Figaro,2012-08-28,2
ar,Buenos Aires,Mozart,Cosi fan tutte,2013-03-15,5
ar,Buenos Aires,Mozart,Le nozze di Figaro,2013-08-13,6
ar,Buenos Aires,Rakhmaninov,Aleko,2013-05-14,4
ar,Buenos Aires,Rakhmaninov,Francesca da Rimini,2013-05-14,4
ar,Buenos Aires,Rossini,La cenerentola,2012-09-25,5
ar,Buenos Aires,"Strauss, R",Die Frau ohne Schatten,2013-06-11,4
ar,Buenos Aires,"Tchaikovsky, P",Eugene Onegin,2012-11-09,5
ar,Buenos Aires,Verdi,Nabucco,2013-08-02,5
ar,Buenos Aires,Verdi,Otello,2013-07-18,5
ar,Buenos Aires,"Wagner, Richard",Der Ring an 1 Abend,2012-11-27,4
ar,La Plata,Albeniz,Pepita Jimenez,2012-10-28,3
ar,La Plata,Bellini,I Capuleti e i Montecchi,2012-08-31,4
ar,La Plata,Orff,Carmina Burana,2013-05-18,3
ar,La Plata,"Schoenberg, A",Pierrot Lunaire,2013-06-14,3
ar,La Plata,"Wagner, Richard",Die Walkure,2012-12-02,6
at,Bad Ischl,Lehar,Wo die Lerche singt,2013-08-15,2
at,Bad Ischl,Lehar,Zigeunerliebe,2012-07-21,1
at,Bad Ischl,Millocker,Gasparone,2013-07-20,11
at,Bad Ischl,"Zeller, C",Der Vogelhandler,2012-07-14,1
at,Baden bei Wien,Benatzky,Im weissen Rossl,2013-02-16,15
at,Baden bei Wien,"Kalman, E",Grafin Mariza,2012-07-13,3
at,Baden bei Wien,Millocker,Die Dubarry,2012-10-20,13
at,Baden bei Wien,Offenbach,La belle Helene,2013-06-21,14
at,Baden bei Wien,"Strauss, J",Indigo,2012-12-15,13
at,Bregenz,Frost,The Wasp Factory,2013-08-01,3
at,Bregenz,Mozart,Die Zauberflote,2013-07-17,27
